Date,Open,High,Low,Close,Adj Close,Volume
2018-07-05,83.320000,83.900002,83.129997,83.709999,83.709999,0
2018-07-06,83.440002,83.959999,83.320000,83.750000,83.750000,0
2018-07-09,84.580002,84.790001,83.279999,83.279999,83.279999,0
2018-07-10,82.980003,83.620003,82.690002,83.540001,83.540001,0
2018-07-11,82.610001,82.839996,80.760002,80.980003,80.980003,0
2018-07-12,81.580002,81.930000,81.110001,81.110001,81.110001,0
2018-07-13,80.510002,81.029999,80.320000,80.430000,80.430000,0
2018-07-16,80.349998,80.699997,80.010002,80.139999,80.139999,0
2018-07-17,79.580002,80.709999,79.559998,80.029999,80.029999,0
2018-07-18,79.709999,80.459999,79.559998,80.169998,80.169998,0
2018-07-19,79.309998,80.269997,78.809998,79.000000,79.000000,0
2018-07-20,79.589996,80.070000,79.150002,79.570000,79.570000,0
2018-07-23,79.019997,79.120003,77.989998,78.110001,78.110001,0
2018-07-24,78.529999,79.349998,78.529999,78.830002,78.830002,0
2018-07-25,79.320000,79.519997,78.279999,79.290001,79.290001,0
2018-07-26,78.389999,78.389999,76.959999,76.959999,76.959999,0
2018-07-27,77.120003,77.699997,76.680000,76.790001,76.790001,0
2018-07-30,76.860001,77.250000,76.459999,76.680000,76.680000,0
2018-07-31,76.639999,77.800003,76.610001,77.300003,77.300003,0
2018-08-01,76.839996,76.839996,75.790001,75.870003,75.870003,0
2018-08-02,75.360001,75.900002,75.129997,75.389999,75.389999,0
2018-08-03,75.809998,76.879997,75.589996,76.089996,76.089996,0
2018-08-06,75.489998,75.940002,75.199997,75.199997,75.199997,0
2018-08-07,75.919998,75.959999,74.150002,74.160004,74.160004,0
2018-08-08,74.360001,74.680000,73.820000,74.389999,74.389999,0
2018-08-09,74.629997,75.580002,74.419998,74.459999,74.459999,0
2018-08-10,74.059998,74.790001,73.769997,73.870003,73.870003,0
2018-08-13,73.489998,73.519997,71.290001,71.620003,71.620003,0
2018-08-14,71.839996,71.879997,70.650002,70.690002,70.690002,0
2018-08-15,69.730003,69.739998,65.709999,66.059998,66.059998,0
2018-08-16,66.599998,67.440002,64.239998,64.269997,64.269997,0
2018-08-17,64.889999,66.430000,64.739998,65.919998,65.919998,0
2018-08-20,66.370003,66.779999,65.449997,66.110001,66.110001,0
2018-08-21,66.250000,66.959999,65.879997,66.779999,66.779999,0
2018-08-22,67.209999,67.519997,67.029999,67.419998,67.419998,0
2018-08-23,66.860001,66.879997,65.059998,65.300003,65.300003,0
2018-08-24,66.120003,68.430000,66.120003,67.680000,67.680000,0
2018-08-27,67.930000,68.959999,67.930000,68.790001,68.790001,0
2018-08-28,69.419998,69.580002,67.040001,67.449997,67.449997,0
2018-08-29,67.589996,68.080002,67.209999,67.599998,67.599998,0
2018-08-30,67.059998,67.070000,66.120003,66.400002,66.400002,0
2018-08-31,66.430000,67.269997,66.000000,66.239998,66.239998,0
2018-09-04,65.330002,65.330002,63.139999,63.430000,63.430000,0
2018-09-05,63.570000,63.580002,62.660000,63.070000,63.070000,0
2018-09-06,63.580002,64.190002,62.689999,62.910000,62.910000,0
2018-09-07,62.470001,63.480000,61.970001,63.040001,63.040001,0
2018-09-10,63.029999,63.310001,61.919998,61.919998,61.919998,0
2018-09-11,61.380001,62.020000,60.590000,61.919998,61.919998,0
2018-09-12,61.880001,64.739998,61.660000,64.059998,64.059998,0
2018-09-13,64.690002,65.150002,63.450001,63.740002,63.740002,0
