,Date,Open,High,Low,Close,Volume,MA_short,MA_long,EMA_short,EMA_long,EMA_short_MACD,EMA_long_MACD,MACD,MACD_signal,MACD_hist,BIAS_short,BIAS_long,VR,OBV,Open_interpreted,High_interpreted,Low_interpreted,MA_short_interpreted,MA_long_interpreted,EMA_short_interpreted,EMA_long_interpreted,MACD_interpreted,BIAS_short_interpreted,BIAS_long_interpreted,VR_interpreted,OBV_interpreted
767,2020-01-23,79.480003,79.889999,78.912498,79.807503,104472000,70.78879994,57.006474969999935,71.46137788314745,59.81699685143307,77.94861350607036,75.20149022843177,2.747123277638593,2.7037261468637204,0.0433971307748724,12.740296583137686,39.997260034056275,1.6877566872385967,4900210000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
768,2020-01-24,80.0625,80.832497,79.379997,79.577499,146537600,71.06934986,57.154987464999934,71.77965714263185,60.013618763359105,78.19921127436722,75.5256390263257,2.673572248041509,2.6976953670992794,-0.02412311905776976,11.971615269817807,39.2310671902972,1.6362716259762669,4753672400,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
769,2020-01-27,77.514999,77.942497,76.220001,77.237503,161940000,71.30429996,57.29039998499994,71.99369031350905,60.18500069606201,78.05125615523379,75.65244376511639,2.398812390117413,2.637918771702906,-0.23910638158549255,8.320961068727122,34.81753141926523,1.6714124292080939,4591732400,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
770,2020-01-28,78.150002,79.599998,78.047501,79.422501,162234000,71.57039998,57.438824994999926,72.2850162227832,60.376418609534035,78.26221690058243,75.93170726399666,2.3305096365857882,2.5764369446794824,-0.24592730809369456,10.971157101531112,38.27319936804726,1.8368331294793472,4753966400,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
771,2020-01-29,81.112503,81.962502,80.345001,81.084999,216229200,71.87889988,57.59566249499992,72.63011358659564,60.582474135807324,78.69649106972359,76.31343257777469,2.3830584919489297,2.537761254133372,-0.15470276218444212,12.807790791691776,40.78316923091087,1.6192219542026594,4970195600,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
772,2020-01-30,80.135002,81.022499,79.6875,80.967499,126743200,72.16944982000003,57.75146249499992,72.95706987731741,60.78531020410775,79.04587690515075,76.65817823868025,2.3876986664704987,2.5077487366007976,-0.12005007013029888,12.190822019488122,40.199910966774404,1.4898969301246676,4843452400,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
773,2020-01-31,80.23249799999998,80.66999799999998,77.072502,77.377502,199588400,72.38149982,57.88928750499992,73.13042015663828,60.95040663988778,78.78920384281987,76.71146148025949,2.077742362560386,2.4217474617927155,-0.3440050992323296,6.902319228565558,33.664630080853705,1.4219321021369398,4643864000,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
774,2020-02-03,76.074997,78.372498,75.555,77.165001,173788400,72.5933498,58.021200004999926,73.2886390132407,61.111745887252084,78.53932648238606,76.74505700024027,1.7942694821457934,2.296251865863331,-0.5019823837175377,6.297617085580482,32.994493380609825,1.5395465315263706,4470075600,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
775,2020-02-04,78.827499,79.910004,78.407501,79.712502,136616400,72.87164982,58.16493751499992,73.54055520879989,61.29682803762768,78.71981502355743,76.9648677409632,1.7549472825942305,2.187990949209511,-0.4330436666152808,9.387535752103274,37.04562474505069,1.670497768714468,4606692000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
776,2020-02-05,80.879997,81.190002,79.737503,80.362503,118826800,73.16884984000002,58.311087529999924,73.80808257316069,61.486536246208495,78.97253625070243,77.21654442681778,1.7559918238846564,2.10159112414454,-0.3455993002598836,9.831578842267607,37.81684822574275,1.8186520706864573,4725518800,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
777,2020-02-06,80.64250200000002,81.305,80.065002,81.302498,105425600,73.4859998,58.458250024999906,74.10198121735046,61.68370999500245,79.33099190444052,77.51920765446091,1.8117842499796095,2.043629749311554,-0.2318454993319441,10.636717498943245,39.07788544000317,1.7057218103657783,4830944400,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
778,2020-02-07,80.592499,80.849998,79.5,80.0075,117684000,73.75429982,58.59933751999992,74.33357018921906,61.866036263708885,79.43507007298811,77.70352560598229,1.7315444670058042,1.9812126928504041,-0.2496682258445997,8.478421183932532,36.53311348902789,1.8247783354237452,4713260400,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
